id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7213,62,79,196,179,,,,100,,2025-11-03 00:49:05.519113+00,
7214,62,79,196,178,,,,100,,2025-11-03 00:49:05.6256+00,
7215,62,79,196,179,,,,101,,2025-11-03 00:49:05.728417+00,
7216,62,79,196,178,,,,101,,2025-11-03 00:49:05.830384+00,
7217,62,79,196,179,,,,99,,2025-11-03 00:49:05.932846+00,
7218,62,79,196,178,,,,99,,2025-11-03 00:49:06.037088+00,
7219,62,79,196,179,,,,155,,2025-11-03 00:49:06.137317+00,
7220,62,79,196,178,,,,155,,2025-11-03 00:49:06.241075+00,
7221,62,79,196,179,,87,,96,,2025-11-03 00:49:06.348467+00,
7222,62,79,196,178,,87,,96,,2025-11-03 00:49:06.461149+00,
7223,62,79,196,179,,,,98,,2025-11-03 00:49:06.573299+00,
7224,62,79,196,178,,,,98,,2025-11-03 00:49:06.678141+00,
7225,62,79,196,179,,,,156,,2025-11-03 00:49:06.779213+00,
7226,62,79,196,178,,,,156,,2025-11-03 00:49:06.882191+00,
7227,62,79,204,181,,,,104,,2025-11-03 00:49:06.985165+00,
7228,62,79,205,183,,87,,105,,2025-11-03 00:49:07.083837+00,
7229,62,79,206,184,,,,105,,2025-11-03 00:49:07.184306+00,
7230,62,79,207,185,,87,,100,,2025-11-03 00:49:07.288391+00,
7231,62,79,207,185,,87,,101,,2025-11-03 00:49:07.390187+00,
7232,62,79,207,185,,87,,99,,2025-11-03 00:49:07.494722+00,
7233,62,79,208,186,,87,,100,,2025-11-03 00:49:07.595705+00,
7234,62,79,208,186,,87,,101,,2025-11-03 00:49:07.696406+00,
7235,62,79,208,186,,87,,99,,2025-11-03 00:49:07.804398+00,
7236,62,79,209,187,,87,,100,,2025-11-03 00:49:07.907873+00,
7237,62,79,209,187,,87,,101,,2025-11-03 00:49:08.00948+00,
7238,62,79,210,188,,,,100,,2025-11-03 00:49:08.110324+00,
7239,62,79,210,188,,,,101,,2025-11-03 00:49:08.22175+00,
7240,62,79,210,188,,,,99,,2025-11-03 00:49:08.322+00,
7241,62,79,211,189,,,,100,,2025-11-03 00:49:08.427698+00,
7242,62,79,211,189,,,,101,,2025-11-03 00:49:08.531147+00,
7243,62,79,211,189,,,,99,,2025-11-03 00:49:08.639871+00,
7244,62,79,294,335,,,,100,,2025-11-03 00:49:08.753266+00,
7245,62,79,294,335,,,,101,,2025-11-03 00:49:08.853582+00,
7246,62,79,294,335,,,,99,,2025-11-03 00:49:08.954977+00,
7247,62,96,174,221,,,,139,,2025-11-03 00:49:09.073831+00,
7248,62,96,175,220,,,,132,,2025-11-03 00:49:09.17159+00,
7249,62,96,176,225,,113,,124,,2025-11-03 00:49:09.276173+00,
7250,62,96,176,225,,114,,124,,2025-11-03 00:49:09.379664+00,
7251,62,96,176,225,,122,,121,,2025-11-03 00:49:09.478861+00,
7252,62,96,176,225,,123,,121,,2025-11-03 00:49:09.580271+00,
7253,62,96,176,224,,124,,121,,2025-11-03 00:49:09.690104+00,
7254,62,96,176,224,,123,134,121,,2025-11-03 00:49:09.790422+00,
7255,62,96,177,,,,,119,,2025-11-03 00:49:09.896799+00,
7256,62,96,177,,,,,116,,2025-11-03 00:49:09.999352+00,
7257,62,96,177,,,,,121,,2025-11-03 00:49:10.103885+00,
7258,62,96,178,232,,104,,140,,2025-11-03 00:49:10.20078+00,
7259,62,96,178,232,,105,,140,,2025-11-03 00:49:10.30394+00,
7260,62,96,178,232,,122,,119,,2025-11-03 00:49:10.410655+00,
7261,62,96,178,232,,122,,117,,2025-11-03 00:49:10.515414+00,
7262,62,96,178,232,,123,,119,,2025-11-03 00:49:10.614871+00,
7263,62,96,178,232,,123,,117,,2025-11-03 00:49:10.714499+00,
7264,62,96,178,232,,125,,121,,2025-11-03 00:49:10.81569+00,
7265,62,96,178,232,,126,,124,,2025-11-03 00:49:10.917578+00,
7266,62,96,178,232,,119,,81,,2025-11-03 00:49:11.017521+00,
7267,62,96,178,232,,119,,80,,2025-11-03 00:49:11.120149+00,
7268,62,96,178,232,,120,,81,,2025-11-03 00:49:11.223784+00,
7269,62,96,178,232,,120,,80,,2025-11-03 00:49:11.324465+00,
7270,62,96,178,226,,107,,140,,2025-11-03 00:49:11.429418+00,
