和名,学名,分布,深さ,体長,description
オオシイノミガイ,Japonactaeon sieboldii,西太平洋,15m,7~20mm,殻は薄く光沢があり、縫合下は白色。肩と殻底に褐色螺帯がある。軟体は白みを帯びた半透明。Acteon 属から変更された。殻長20mmに達する。
ムラクモキジビキガイ,Japonactaeon nipponensis,ロシアから九州,0.5m,5~13mm,殻は淡黄色で黒色の縦縞があり、縫合近くでは地色と交互になりよく目だつ。全面に細い螺溝がある。軟体は黒色で頭楯はやや淡い。殻長13mmに達する。
アサグモキジビキガイ,Japonactaeon sp.,日本,12m,12~10mm,殻はコシイノミガイに比べやや丸い。肋上のみに黒色の破線が並ぶ。縫合下は白色。軟体は白色。過去の本ではコシイノミガイとされていた場合もある。殻長10mmに達する。
コシイノミガイ,Pupa strigosa,西太平洋,5m,5~15mm,殻は白色で、全面に強い刻点状の螺溝がある。灰色の縦線が螺溝に寸断され、破線状になる。体層は砲弾型。軟体は白色。殻長15mmに達する。
タイワンカヤノミガイ,Pupa solidula,インド-西太平洋,18m,10~25mm,殻は白色で、縫溝は深く明瞭。黒色または灰色の縦線が多数あり、縫溝で寸断され方形斑状になる。軟体は白色。殻長25mmに達する。
キジビキガイ,Punctacteon fabreanus,西太平洋,5m,11~18mm,殻は少し光沢があり、全体に刻点状の縫溝がある。赤褐色の3つの螺帯がある。ベニカヤノミガイに似るが、縫溝の幅が狭い。軟体は白色。殻長18mmに達する。
オオキジビキガイ,Punctacteon kirai,西太平洋,20m,10~26mm,殻はピンク色で、縦溝はキジビキガイよりも太く強い。軟体は白色。殻長26mmに達する。
アカフキジビキガイ,Punctacteon flammeus,インド-西太平洋,15m,9~16mm,殻は白色で、炎のような形状のピンクの斑紋が並ぶ3螺帯がある。全体に縦溝がある。軟体は白色。殻長16mmに達する。
ウスムラサキキジビキガイ,Rictaxiella choshiensis,日本,23m,5~9.5mm,殻は淡紫色で、縫合下に白色螺帯がある。全体に濃色の刻点状の縦溝がある。腹足は紫色を帯びた半透明。頭楯は淡黄色。殻長9.5mmに達する。
ベニシボリガイ,Bullina lineata,西太平洋、中部太平洋,5m,10~15mm,殻は白色で2本の細い赤色螺帯があり、湾曲した赤色縦線が交差するように配置する。軟体は白みを帯びた半透明で、淡青色線で縁取られる。殻長15mmに達する。
オオベニシボリ,Bullina nobilis,日本、フィリピン,8m,10~20mm,殻は白色で薄質大型。2本の赤色螺帯と数本の赤色縦線がある。ベニシボリガイに似るが彫刻は粗く、赤色縦線の湾曲は弱い。軟体は白みを帯びた半透明で縁取りはない。殻長20mmに達する。
クロスジシボリ,Bullina vitrea,西太平洋,6m,10~25mm,殻は白色で2本の細い黒色または赤色の螺帯がある。螺塔は低い。全体に縦溝がある。軟体は白みを帯びた半透明で、腹足は広がり白色細点を密に散らす。赤色螺帯をもつ個体は一見コイトガイに似るが、螺塔が低いことで識別できる。B. roseanaはシノニム。殻長25mmに達する。
バライロシボリ,Bullina sp.,日本、フィリピン,6m,7~8mm,殻はピンクを帯びた半透明で、外唇は濃色になる。全面に弱い縦溝がある。螺塔は低い。軟体は白みを帯びた半透明で、腹足には白色細点を散らす。殻長8mmに達する。
ヤカタガイ,Hydatina albocincta,インド-西太平洋,15m,18~50mm,殻は白色で光沢があり、膨らみの強い球形。殻表には褐色の螺帯を4本めぐらす。軟体は紫褐色で白色線で縁取られる。殻長50mmに達する。
ヒメヤカタガイ,Hydatina zonata,インド-西太平洋,5m,20~25mm,殻は白色で、波打つ細い褐色縦縞に覆われる。写真は幼貝で中央に白色帯があるが、成貝では消失する。軟体は褐色で、青白色の縁取りがある。殻長25mmに達する。
スジヒメヤカタ,Hydatina velum,インド-西太平洋,17m,34~30mm,殻は白色で、細い褐色縦縞に覆われる。中央には黒褐色で太く縁取られた淡黄色帯があり、成貝でも失われることはない。ヒメヤカタガイに似るが軟体はより濃色とされ、産卵期の生殖隔離が観察されている。ヒメヤカタガイのシノニムとする研究者もいる。殻長30mm。
ミスガイ,Hydatina physis,世界の熱帯域,1m,40~50mm,殻には多数の黒色螺線と、不明瞭な淡褐色縦線がある。軟体は紫褐色で、青白色で細く縁取られる。殻長50mmに達する。
ベニヤカタガイ,Aplustrum amplustre,インド-太平洋,1m,20~25mm,殻は白色の卵形で、黒色線で縁取られた幅広い淡赤褐色の螺帯が２本ある。軟体は白色。殻長25mmに達する。
コンシボリガイ,Micromelo undatus,世界中の熱帯域,12m,8~10mm,殻は白色で卵形。殻表には黒褐色の螺帯が３本あり、波打つ縦線が交差する。軟体は白みを帯びた半透明で全体に白色斑紋を散布し、青色や黄色、緑色などで縁取られる。殻長10mmに達する。
マメウラシマガイ,Ringicula doliaris,西太平洋,18m,4~5.5mm,殻は厚く光沢のある白色で、広い間隔の繊細な螺溝がある。軟体は白みを帯びた半透明で、外套膜縁には褐色の細点を散らす。殻長5.5mmに達する。
クロダマメウラシマ,Ringicula kurodai,西太平洋,10m,2~2.6mm,殻は厚く光沢のある白色。マメウラシマガイに似るが殻が細長く、螺層の膨らみが弱く、螺塔が高い。殻長2.6mmとサイズも小さい。外套膜縁には褐色細点を散らす。
シロフシエラガイ,Berthella stellata,全世界の温帯、熱帯域とされる,7m,12~20mm,体地色は白色を帯びた半透明で、半透明の細かな亀甲模様で覆われる。背面にはT字または十字の白色紋があるが、これを欠くものもいる。浅所の転石裏面などに見られる。複数の隠蔽種の存在が示唆されている。20mmに達する。
チギレフシエラガイ,Berthella martensi,インド-西太平洋熱帯域,10m,17~80mm,体地色は変異に富み、白色を帯びた半透明、黄褐色、黒褐色など。外套膜上には黄褐色、黒褐色、黒色の円形の小斑紋があることが多いが、これを欠く個体もみられる。外套膜は危機に際した場合に自切する3葉をもつ。80mmに達する。
スズヤカフシエラガイ,Berthella californica,西太平洋北部、北太平洋、東太平洋,6m,20~50mm,体地色は白みを帯びた半透明で、中心には暗色の内臓器官がほんやりと透けて見える。白色細点が体表全体に散布する。外套膜周縁は白色細線で縁取られる。50mmに達する。
ホウズキフシエラガイ,Berthellina delicata,インド-西太平洋,10m,30~40mm,体地色は淡黄色から橙色でほぼ体全体が同色。本属他種とは外套に目立った斑紋や突起をもたないことから識別できる。40mmに達する。夜行性で日中は潮通しのよい浅所の転石裏面など陰になるところに潜む。
カメノコフシエラガイ,Pleurobranchus peronii,インド-西太平洋,2m,35~130mm,成体の体色は黄褐色から赤紫色、外套は亀甲模様の小突起で覆われる。小突起の一部は暗色になる。幼体では白色を帯びた透明で白色細点が密に散布する。夜行性で日中は浅所の転石裏面などに潜む。130mmに達するが通常は50mm程度。
ゼニガタフシエラガイ,Pleurobranchus forskalii,インド-西太平洋熱帯域,7m,50~200mm,体地色は淡黄褐色から赤紫色。外套には白色や暗色の亀甲模様がある。小型個体ではこの亀甲模様が丸く突起することがある。200mmを超える大型種。夜行性で、日中は転石下の砂中に潜っていることが多い。
イッサイフシエラガイ,Pleurobranchus mamillatus,インド-西太平洋,18m,200~500mm,体色は褐色やオレンジ色など変異に富む。外套には高く伸びる突起があり、いくつかはその根元をピンク色の輪で囲まれる。外套周縁には小さな突起が並ぶ。500mmに達する。
ソバカスフシエラガイ,Pleurobranchus glandis,西太平洋、中部太平洋,7m,150~300mm,体地色は乳白色で外套は淡褐色や赤色に染まった亀甲模様で覆われる。またその一部が黒褐色の大きな斑紋をなすことが多い。触角は暗色。夜行性で300mmに達する。本和名は益田、1999において提唱されたもの。過去の本ではヨコヅナフシエラガイという異名もある。
ナイワンフシエラガイ,Pleurobranchus albiguttatus,インド-西太平洋,5m,30~80mm,体地色は淡黄褐色から黄褐色。外套には小さな亀甲模様がやや密に散布し、白色の小斑紋も放射状に散在する。この亀甲模様は円錐状に小さく突起し、一部は白色でさらに伸長する。カメノコフシエラガイに似るが本種は腹足に橙色や褐色の小斑紋があることで識別できる。80mmに達する。
ヒノマルフシエラガイ,Pleurobranchus caledonicus,西太平洋－中部太平洋,8m,10~150mm,体地色は灰褐色から赤褐色。背面は小さな暗色斑で覆われ、中央に特徴的な暗褐色紋がある。この斑紋の周囲はいくぶん淡色になる。サンゴ礁浅所の転石裏面などに見られる。150mmに達する。
プレウレデラ・ハラルドイ,Pleurehdera haraldi,西太平洋、中部太平洋,4m,18~40mm,体は淡いピンクを帯びた半透明から赤茶色まで、変異が多い。外套膜には多くの細かい皺があり、濃色の不規則な網目状に見える。また、外套膜上にはわずかに白色細点を散布することが多い。外套膜を通して内部器官が透けて見えることが多い。40mmに達する。
ウミフクロウ,Pleurobranchaea maculata,インド-西太平洋,8m,15~110mm,体地色は灰黄色で黒褐色の網目模様で覆われる。口幕、外套膜に白色細点を散らすことも少なくない。外套膜は口幕と癒着する。悪食で胃内容物から同種の小型個体や他種のウミウシが見つかった例がある。浅所の転石下などに普通に見られる。110mmに達する。
ツノウミフクロウ,Pleurobranchaea brockii,インド-西太平洋,5m,50~120mm,体地色は淡い灰黄色で褐色のやや大き目な網目状斑紋に覆われる。この網目模様のそれぞれの中心には白色細点がある。腹足後端に棘状の突起がある。口幕はマダラウミフクロウよりは小さめながらよく広がり、餌を探知する。ウミフクロウ同様に悪食。120mmに達する。
マダラウミフクロウ,Euselenopus luniceps,インド-西太平洋,12m,40~70mm,体地色は白色で黒褐色の丸い小斑点を外套、腹足表面、口幕全体に散らす。口幕は本科の中でも著しく大きい。外套の後端に水管をもつ。夜行性で日中は砂中に潜む。70mmに達する。
ミカドウミウシ,Hexabranchus sanguineus,インド-太平洋、中部太平洋,5m,80~600mm,体地色は大型個体ではおおむね赤色だが、小型個体では青色や、淡黄色、白みを帯びた半透明など変異に富む。体型も大型個体では背側縁を内側に巻き込むが、小型個体では短いため通常のイロウミウシ形。鰓は6個でその中心に肛門がある。触角は広い。時に遊泳する。変異に富むことからイロウミウシ科の種と誤認しやすい。600mmに達する。
フジタウミウシ,Polycera fujitai,西太平洋,7m,20~35mm,体地色は黄白色で橙色と黒色の細点が全体に散布する。頭縁には6～10本の指状突起がある。背面周縁には白い小突起が並ぶ。尾部の正中線上にも白い小突起が数個並ぶ。触角褶葉の後部が黄色、前部が黒色を帯びるのが常。35mmに達する。
オウカンウミウシ,Polycera japonica,インド-太平洋,5m,8~10mm,体地色は淡緑色で、白色斑や白色細点が散布しているので白く見える個体が多い。鰓部と体後部に黒色斑がある個体が多い。頭縁には10個のごく小さな突起が並ぶ。触角褶葉は体に比して大きい。10mmに達する。
チャイロオウカンウミウシ,Polycera risbeci,インド-西太平洋熱帯域,5m,5~8mm,体色は黄褐色、緑褐色、褐色、黒褐色と変異が多い。体表には黒褐色の細い横線が入ることが多いがこれを欠く個体もいる。また、体表全体に白色細点を散布することもある。触角褶葉は大きく、褶葉より上に伸びる軸部は短い。頭縁には小突起が数本ある。8mmに達する。
コソデウミウシ,Polycera abei,日本,23m,13~15mm,体地色は黄白色を帯びた半透明。体全体に橙色小斑が散在し、その間に黒色点がある。頭部前縁の突起は6本で黒色。本写真個体は一部欠損している。触角と鰓は体地色と同様にほぼ半透明で各先端が黒染する。背面と体側の境は不明瞭。15mmに達する。
クロコソデウミウシ,Polycera hedgpethi,日本、カリフォルニア、南アフリカ、オーストラリアなど,12m,8~40mm,体は暗褐色の細点で覆われる。背面縁の白い縁取りは、頭側部から鰓側部の突起基部を通り、鰓の後部で合流し、尾の末端に至る。鰓側部の突起は左右2本ずつ生じ、黄色の輪がある。頭部前縁の突起は白色で先端近くに黄色い輪をもち4本。触角と鰓は先端が黄色。40mmに達する。
クロゴマフジタウミウシ,Polycera melanosticta,南西諸島、ニュージーランド、オーストラリア,18m,8~10mm,体は白みを帯びた半透明で、体表全体に黒色細点と白色細点を散布する。鰓の軸は橙色で軸先端は黒色。触角は先端が黒色。触手状の前足隅は橙色で先端が黒色。頭部前縁はわずかな橙色斑があり、突起は体地色に同じ。千葉大学の標本に基づき、体表の黒色紋に因み新称クロゴマフジタウミウシを提唱する。10mmに達する。
アカコソデウミウシ,Polycera sp.1,インド-西太平洋,7m,17~20mm,体地色は赤みを帯びた橙色で、全体に黒色小斑を散布する。頭部前縁の突起、触角褶葉、基部を除く鰓、尾末端は黒色。背面と体側は分かれており、その縁に淡色の三角形の突起が生じる。頭縁の突起は6本。20mmに達する。
コナフキウミウシ,Polycera sp.2,西太平洋、中部太平洋,12m,10~mm,体地色は黄褐色から橙色で、鰓と触角はやや濃色。全体に微小な白色細点で覆われる。背面縁には白い小突起が縁取るように並ぶ。コケムシの房の中に生息し産卵する。10mmに満たない個体が多い。
ツマキフジタウミウシ,Polycera sp.3,南西諸島、インドネシア,14m,8~13mm,体は灰褐色で黒色細点が体表を覆う。触角は軸が黄色で褶葉は体と同色。触角の先端は伸長し球状になり、その柄は黄色。前足隅は触手状に伸長し、黄色。鰓は軸の内側が黄色。腹足縁から尾の末端も黄色になる。頭縁にも多数の小突起がある。千葉大学の標本に基づき、触角、尾端などが黄染することから新称ツマキフジタウミウシを提唱する。13mmに達する。
ツノザヤウミウシ,Thecacera picta,インド-西太平洋,20m,20~20mm,体は白みを帯びた半透明。頭部前縁から触角を通り鰓の両側の突起に至る黒色線があるが、ときに分断し黒色点になることもあり、ほかにも体側に数個の黒色点をもつことがある。触角褶葉は黒色で先端が橙色になるが時に褶葉の黒色を欠く。20mmに達する。
ミズタマウミウシ,Thecacera pennigera,インド-西太平洋、中部太平洋、地中海など,23m,15~30mm,体は白みを帯びた半透明。体表には黒色点と橙色または黄色点が散在する。鰓にも黒色、橙色の斑紋がある。触角が体地色と同色の白色であることからツノザヤウミウシと識別できる。30mmに達する。
ウデフリツノザヤウミウシ,Thecacera pacifica,インド-太平洋,12m,15~25mm,体は黄褐色で触角鞘、鰓両側の突起、尾部は黒色から青色、白色へと徐々に色が変わる。触角先端、鰓の軸、口触手は黒色。25mmに達する。
オセミズタマウミウシ,Thecacera sp.1,関東〜東海地方,28m,10~10mm,体は白みを帯びた半透明。触角や鰓を含む全体に黄色細点を散布する。鰓両側の突起は短い。10mmに達する。
ガヒミズタマウミウシ,Thecacera sp.2,伊豆半島以南、インドネシア,18m,9~16mm,体は白みを帯びた半透明。体全体を白色細点、褐色細点が覆う。腹足縁、鰓両側の突起先端周囲、触角鞘には黄色点がある。触角先端と鰓両側の突起先端は白色。16mmに達する。
カンナツノザヤウミウシ,Thecacera sp.3,西太平洋,21m,30~40mm,体は山吹色で全体に小さな黒色円斑が散在する。触角先端、鰓両側の突起は先端が黒色。鰓両側の突起は同属他種に比して大きい。40mmに達する。
クチナシツノザヤウミウシ,Thecacera sp.4,西太平洋,25m,17~60mm,体は淡い紫色を帯びた半透明で、橙色線が多数縦走する。触角褶葉の外側と鰓の両側にある突起の先端は白色、その下が紫色になる。触角は淡い紫色。鰓は橙色。60mmに達する。
エビスウミウシ,Palio amakusana,日本,10m,5~30mm,体は黄褐色で乳白色の小突起を全体に散布する。頭部前縁から背面縁を通り鰓の後部までやや大きめの乳白色の突起が並び、鰓の後部で白色の大きな突起になる。触角と鰓は体地色と同色。30mmに達する。
カンザシウミウシ,Limacia ornata,日本、オーストラリア,12m,8~18mm,体は白みを帯びた半透明で、全体に橙色店が散布している。背面周縁には球状の突起が並び、頭部前縁や背面にもやや小さい突起が散在する。突起の表面は微細な毛状突起で覆われる。触角先端と鰓の先端は朱色。18mmに達する。
エダウミウシ,Kaloplocamus ramosus,インド-太平洋、東大西洋、地中海,35m,15~60mm,体地色は橙色。背面縁には5対、頭部前縁に8本の樹状突起がある。触角褶葉と鰓はやや濃色。背面と樹状突起には発光器があり、刺激に対して発光する。コケムシを摂食する。60mmに達する。
ヒメエダウミウシ,Kaloplocamus acutus,西太平洋,10m,8~25mm,体は黄色から橙色で体表には白色細点が散布する。頭部前縁に6本、背面縁に4対の突起があり、これらの先端は赤色になる。触角、鰓の先端も赤色。25mmに達する。
シロエダウミウシ,Kaloplocamus dokte,西太平洋、中部太平洋,9m,6~12mm,体は白みを帯びた半透明で、背面正中線上、鰓の周囲、背面縁の突起の柄と基部に特徴的な白色斑がある。鰓は赤色。口幕突起は8本で背面縁には4対の先端の分枝した突起がある。12mmに達する。
イトマキウミウシ,Kaloplocamus peludo,インド‐西太平洋、中部太平洋,15m,8~15mm,体は白色から灰褐色をおびた半透明で、赤色の細点が散布している。背面正中にかすれた白い帯がある。体表には毛状の突起が密生し、頭前縁の突起は6本、背側縁の大きな突起は5対ほど。体側にも樹状の小突起がある。15mmに達する。
ヒカリウミウシ,Plocamopherus tilesii,西太平洋,13m,50~150mm,体は白みを帯びた半透明で暗褐色斑が所々にあり、黒色点、黄色点が多数散布する。背面縁には3対の小さな樹状突起があり、先端には発光瘤がある。口幕は大きく広がり、複数の小さな樹状突起がある。時に遊泳する。150mmに達する。
ベッコウヒカリウミウシ,Plocamopherus imperialis,日本、オーストラリア、ニュージーランド,10m,12~100mm,体は黄褐色で背面はほぼ褐色で、褐色の細点が密に散布しているが特に体側の細点は目立つ。背側縁の突起は3対で先端にピンク色の発光瘤がある。尾の上縁が隆起しひれのようになり、ときに遊泳する。過去の本ではニンジンヒカリウミウシとされていた場合もある。100mmに達する。
ニンジンヒカリウミウシ,Plocamopherus pecoso,西太平洋 - 中部太平洋,20m,20~mm,体は白みを帯びた半透明で、体表にはオレンジ色の細点が密に散布しているが、腹足縁では疎ら。背面には小さな不定形の褐色斑をもつことがある。背面縁はかすかに白く縁取られ、先端に紫色の発光瘤をもつ３対の突起がある。触角も淡い紫色。過去の本ではソバカスヒカリウミウシとされていた場合もある。
プロカモフェルス・ケイロニクス,Plocamopherus ceylonicus,インド、太平洋,8m,20~mm,体は白みを帯びた半透明で不定形の褐色斑が体の多くを覆う。体表には白色細点も多く散布し密集することもある。背面縁には３対の突起があり、先端には白色またはピンク色の発光瘤がある。過去の本ではベッコウヒカリウミウシとされていた場合もある。
プロカモフェルス・マクラートゥス,Plocamopherus maculatus,インド-太平洋,14m,20~30mm,体は黄色みの強い半透明。体表には暗褐色の小さな不定形斑や赤褐色斑が疎らに入る。体側には白い小突起が並ぶ。背面縁には3対の突起があり、発光瘤をもつ突起は鰓の後方の1対のみ。30mmに達する。
アカネヒカリウミウシ,Plocamopherus maculapodium,インド-太平洋,9m,10~25mm,体は茶褐色で腹足縁はやや淡色になり、褐色の細点が多く散布しているのが目立つ。背面縁には白色の突起が3対あり、一番後方の突起にのみ白色またはピンク色の発光瘤がある。体側には小さく突起する白色斑が並ぶ。25mmに達する。
クメジマヒョウモンウミウシ,Plocamopherus margaretae,インド-西太平洋,18m,50~75mm,体は黄色、オレンジ色や赤褐色で白色点や小さく突起する黄色点が体全体に散布する。また、周囲が白色の黒い眼紋が疎らに散布するが、口幕に多く、大きい。背面縁の突起は３対でそれぞれ微細な白点を塗したピンクの発光瘤をもつ。クメジマヒカリウミウシは異名。75mmに達する。
シロアミヒカリウミウシ,Plocamopherus sp.,南西諸島、インドネシア,7m,40~40mm,体は橙色で、微細な白点が網目状に並び、一部は繋がる。体側の小突起は先端が分枝する。背面縁には３対の突起があり、鰓後部の１対の突起先端には黄色の発光瘤がある。鰓の内側は白色。ゴスライナーほか（2018）のPlocamopherus sp.2 が本種。千葉大学の標本に基づき、白い網目状斑紋に因み、新称シロアミヒカリウミウシを提唱する。40mmに達する。
ヤグルマウミウシ,Crimora lutea,インド-太平洋,15m,10~15mm,体は黄色から橙色で、全体に黒色の小さな円錐形突起を散布しており、口幕縁の突起は先端が2叉する。鰓と触角は黄色だがともに白色の個体も見られる。触角は体と同色。15mmに達する。
ハナサキウミウシ,Triopha modesta,北海道、韓国、アラスカ,10m,12~70mm,体は白みを帯びた半透明で、小さく突起する橙色斑が散布している。背面縁には先端に黄色の瘤をもつ突起が並ぶ。口幕縁には先端の分枝した黄色の突起が並ぶ。触角褶葉と鰓の先端は黄色。カリフォルニア産のT.catalinaeとは分子系統上の差異がある。70mmに達する。
ハナデンシャ,Kalinga ornata,インド-太平洋,,120~200mm,体は白みを帯びた半透明で、全体に赤色や白色、水色などの突起を散布している。鰓は6個が独立し、中心に肛門がある。口幕は広く多数の突起が並ぶ。触角と鰓は淡褐色。クモヒトデを摂食する。200mmに達する。
クロスジリュウグウウミウシ,Nembrotha lineolata,インド-西太平洋,15m,20~60mm,体は黄色みを帯びた白色。体には多数の褐色縦線が走る。鰓の分枝する部分もしくはそれより先端に近い部分から上に向かって青紫色などに彩色される。近似のセグロリュウグウウミウシは鰓の基部からの彩色。本種は触角鞘も上部の彩色。60mmに達する。
アカフチリュウグウウミウシ,Nembrotha kubaryana,インド-西太平洋,5m,35~120mm,体は黒色でわずかに隆起した緑色の小円斑や縦線が多数走る。腹足縁、触角鞘、触角襞葉、口触手の縁、鰓の軸は朱色。120mmに達するとされるが、本邦では40mm程度の個体が多い。ホヤを摂食する。
トサカリュウグウウミウシ,Nembrotha cristata,インド-西太平洋,5m,60~130mm,体は暗緑色で、わずかに隆起した明るい緑色の円斑が全体に散布している。鰓の軸から分枝の先まで明るい緑色になる。本種の小型個体では円斑が赤色を帯びることが多い。比較的大型で130mmに達する。
ミラーリュウグウウミウシ,Nembrotha milleri,インド-西太平洋,5m,90~150mm,体は深緑色で、体表には多数の細い縦ヒダがあり、ときに小さな淡色あるいは暗色の突起が疎らに生じることもある。小型個体ではこの突起が赤色紋になることがある。鰓は大きく鰓葉は暗色。150mmを超える大型種であるが、さらに大きなイシガキリュウグウウミウシに丸呑みにされることがある。
トウモンリュウグウウミウシ,Nembrotha livingstonei,インド-西太平洋,5m,40~40mm,体地色は乳白色で赤褐色や黒褐色の斑紋で覆われることがある。体表全体に細い多くの縦線が走る。触角間には十字型の黄色い斑紋がある。触角鞘、鰓の分枝部、尾先端は紫色になることが多い。40mmに達する。
セトリュウグウウミウシ,Nembrotha sp.1,日本、フィリピン、インドネシア,26m,50~40mm,体は黄白色から水色で、暗褐色の太い縦線が数本走る。触角後部、時に鰓後部にも赤色斑が入る。触角褶葉と鰓先端は赤色。ゴスライナーほか（2018）のNembrotha sp.2 が本種。40mmに達する。
ベニゴマリュウグウウミウシ,Nembrotha sp.2,西太平洋,5m,30~50mm,体は赤褐色から黒色。小さく隆起した橙赤色円紋が体表を覆う。小型個体の触角の褶葉縁は白色だが、成長につれ不明瞭となることが多い。鰓は成長により体地色と同色になるが、基部に一部白色紋が残る。触角間は白色になることがある。本種は色彩の変異が多い。50mmに達する。
オキナワリュウグウウミウシ,Nembrotha sp.3 cf. chamberlaini,南西諸島、台湾,12m,30~30mm,触角鞘の全体、鰓の立ち上がる基部から軸の一部までが褐色や赤褐色に彩色される。尾部も同色。腹足縁は青色。背面には多数の褐色縦線がある。近似のセグロリュウグウウミウシは体色・斑紋の変異が著しいが本種はほぼ同一であることから、同種とするには更なる検討を要する。30mmに達する。
リュウグウウミウシ,Roboastra gracilis,インド-西太平洋,5m,20~30mm,体は黒色で山吹色の太い縦線が数本走る。触角、口触手、鰓、腹足縁は水色。イシガキリュウグウウミウシの小型個体に似るが、鰓の軸の基部が黄緑色にならず、体が細いことで識別できる。30mmに達する。
イシガキリュウグウウミウシ,Roboastra luteolineata,インド-西太平洋,5m,20~230mm,体は黒色で黄色からオレンジ色の縦線が多数走る。鰓の基部には黄緑色の斑紋が入る。他のクロスジリュウグウウミウシ亜科の種を丸呑みにする。大型種で230mmの記録がある。本種をTyrannodoris属にする研究者もいるが、ここではゴスライナーほか（2018）に従う。
オオクチリュウグウウミウシ,Roboastra tentaclata,西太平洋,20m,12~30mm,体は黄色から黄緑色で、背面縁と腹足縁には褐色もしくは暗い群青色のやや太い縦線がある。鰓と触角は群青色。触角後方の背面には3本の縦線が走る。口触手は大きい。30mmに達する。
ニコラスリュウグウウミウシ,Roboastra nikolasi,西太平洋,7m,15~15mm,体色は緑色から淡褐色、黄色など。触角の柄と鰓の基部が白色。口触手、触角褶葉、鰓の先端、尾の末端は紫色から青色。砂地を触角を両側に倒して餌を探す様子が観察されている。本種の属はゴスライナーほか（2018）に従った。15mmに達する。
ニシキリュウグウウミウシ,Tambja limaciformis,インド-西太平洋,6m,10~15mm,体色は赤色から暗赤色で蛋白色の小斑紋が体表に散布している。触角鞘は赤色。触角は柄から褶葉下部が赤色だが、先端は白色と紫色。鰓は白色で先端が紫色。本種属もゴスライナーほか（2018）に従った。ただし使用されている写真は別種。15mmに達する。
コミドリリュウグウウミウシ,Tambja amakusana,西太平洋,23m,16~17mm,体色は変異が多いが橙色、緑色、茶褐色がよく見られる。体表に縦線をもつもの、微細な突起を散らすものがいる。触角先端、鰓先端、尾端は紫色。本種属はゴスライナーほか（2018）に従った。17mmに達する。
コアカリュウグウウミウシ,Tambja kava,西太平洋、中部太平洋,8m,15~20mm,体はほぼ全体が橙色。触角の先端が蛋白色、鰓は蛋白色で先端が紫色。20mmに達する。
サガミリュウグウウミウシ,Tambja sagamiana,南日本、南西諸島,5m,80~130mm,体は青色で黒く縁取られた黄色斑が散布している。腹足縁は黄色。ときにトサカリュウグウウミウシに似る個体を見るが、本種は鰓の軸が太く分枝が少ない。130mmに達する。
スルガリュウグウウミウシ,Tambja pulcherrima,西太平洋,25m,55~80mm,体は黄色から黄土色、橙色などで、黒色細線で縁取られた青い円斑が散布する。頭幕緑と鰓の軸は青みを帯びた黄緑色。本属種はコケムシを摂食する。80mmに達する。
ミドリリュウグウウミウシ,Tambja morosa,インド-西太平洋,5m,80~70mm,体は緑色から黒色。頭幕緑、腹足緑は青色。鰓の外側の軸は緑色や青色など、変異がある。体表には青色や暗色の小斑紋を生じることがある。コケムシを摂食する。70mmに達する。
アカズキンリュウグウウミウシ,Tambja sp.1,インド-西太平洋,6m,8~10mm,体色はあざやかな赤色。触角鞘、鰓は蛋白色で体表には同色のイボ状突起がある。鰓の先端は紫色。10mmに達する。
オカダウミウシ,Vayssierea felis,インド-西太平洋,1m,4~4mm,体は赤色を帯びた半透明で、ときに赤色が抜けて白っぽく見える個体がある。二次鰓を欠く。触角は平滑で長い。卵の中で幼生期を終了して、成体と同様の形態で孵化する直接発生。潮下帯に多く、ウズマキゴカイを摂食。4mmに達する。
ネコジタウミウシ,Goniodoris castanea,日本、大西洋北部のヨーロッパ沿岸、ニュージーランド,8m,4~40mm,体は褐色を帯びた半透明で褐色や淡褐色、赤褐色などの斑紋が全体に散布する。これらの斑紋はときに欠くことがある。背面正中線上に触角から鰓に至る一条の隆起がある。頭前縁から背面縁を通り、鰓後部に至る隆起がある。40mmに達する。
コネコウミウシ,Goniodoris joubini,インド-西太平洋,3m,10~12mm,体は褐色で、全体に蛋白色の細点が散布するがその多寡は個体変異が多い。背側縁の隆起したヒダは淡色で黄点や褐色点、白色点が散布する。背面の鰓直前には1～2個のこぶ状隆起がある。12mmに達する。
サガミコネコウミウシ,Goniodoris felis,西太平洋,8m,15~mm,体は褐色を帯びた半透明で、背面縁のヒダ状部分や触角、口触手、尾の上縁などが白色になる。この白色部はたいへんに淡い個体も見られる。鰓は半透明から橙色、褐色。10mmに達する。
スガシマコネコウミウシ,Goniodoris sugashimae,本州,3m,20~25mm,体は淡黄色で、背面には暗色の斑紋が散在する。触角前方から鰓後方までを囲むヒダ状隆起がある。背面正中線上のヒダ状隆起は小さく波打つ。この隆起後半の左右には３〜５個のこぶ状突起がある。原記載によればこれらのヒダ状突起ややこぶ状隆起を除く体表は通常滑らか。25mmに達する。
ケラマコネコウミウシ,Goniodoris sp.1,インド-西太平洋,15m,7~10mm,体は白色で、背面周縁と口触手、触角先端は褐色。背面の褐色縁の内側は黄色線をめぐらす。触角は著しく大きく軸後部の襞葉が目立つ。鰓は白色。10mmに達する。
クロネコウミウシ,Goniodoris sp.2,西太平洋,5m,5~8mm,体は暗褐色で、白色の微細点が触角や背面縁のヒダ状隆起、鰓直前のこぶ状隆起、尾の上縁などの一部に集中して散布している。コネコウミウシに特徴的な黄色細点を欠く。8mmに達する。
