和名,学名,分布,深さ,体長,description
コンガスリウミウシ,Chromodoris sp.4,三宅島、八丈島、小笠原諸島,12m,30~30mm,背面は青色で黒色縦線が多数走り、大型個体においては白色紋や黄色紋が散在する。背面周縁は外側から白色細線、黄色帯で縁取られる。触角と鰓は淡黄色で、鰓の軸の内側は黒色。30mmに達する。
ホンノリイロウミウシ,Chromodoris sp.5,三宅島、八丈島、小笠原諸島,8m,20~25mm,体は白色で、背面には黒色縦線が3～6本程度入り、外側の縦線は頭部前と鰓後部で繋がる。触角褶葉と鰓の上部2/3は赤色から橙色。25mmに達する。
ガヒイロウミウシ,Chromodoris sp.6,西太平洋,15m,20~30mm,背面には黒色縦線が３本あり、その間に黄色帯が入る。触角後方、背面中央に暗色域がある。背面縁は細い橙赤色の色帯で縁取られる。本種の鰓の軸は橙色で、鰓葉は白色。シボリイロウミウシは本種に似るが背面中央に黄色の色素を帯びないこと、鰓葉が橙色であることなどで識別できる。千葉大学標本に基づき、採集地嘉比島にちなみ新称ガヒイロウミウシを提唱する。30mmに達する。
サラサウミウシ,Goniobranchus tinctorius,インド-西太平洋,14m,40~95mm,体は白色で背面には赤色の網目模様があり、その外側に赤色紋が並ぶ。背面周縁は黄色で縁取られる。触角褶葉の縁は白色点を散布する。なおG.tinctoriusの褶葉縁は白色線で縁取られるとされているので本邦産種については今後の精査が必要。95mmに達する。
チリメンウミウシ,Goniobranchus reticulatus,西太平洋,7m,40~60mm,体は白色。背面は暗赤色の細かな網目模様に覆われ、周縁にわずかに白色帯が残る。背面には緩やかな突起が数多くある。鰓は赤褐色で軸の内側が白色。触角は淡褐色で褶葉縁は黄白色。60mmに達する。
アカネコモンウミウシ,Goniobranchus collingwoodi,西太平洋,12m,20~44mm,体は白色。背面中央は赤褐色で暗色紋が散在し、その上に白色細点が密に集合する。背面周縁部は白色で黄色と青紫の斑紋が配列し、周縁は青紫の断続した斑紋で縁取られる。鰓は薄茶色で軸は褐色で縁取られる。触角褶葉には白色細点が密に散布する。44mmに達する。
ユウグレイロウミウシ,Goniobranchus hintuanensis,西太平洋,20m,20~30mm,背面は青紫色を帯びた白色で周縁は青紫色の細線で縁取られる。背面には大きな輪郭のぼけた白色円斑が密にあり、背面中央部に黒紫色で縁取られた小さな円紋が6個程度配置される。触角と鰓は薄紫色で触角褶葉、鰓の軸は紫色。30mmに達する。
エラフリイロウミウシ,Goniobranchus vibratus,西太平洋、中部太平洋,10m,30~30mm,背面は濃黄色で、白色の小さく突起した斑紋で覆われる。背面周縁は白斑の並んだ青紫色の色帯で縁取られる。触角褶葉と鰓葉は青紫色。鰓をリズミカルに細動させる。30mmに達する。
ボブサンウミウシ,Goniobranchus roboi,インド-西太平洋,10m,20~50mm,背面中央は黄色で灰青色や薄紫色の斑紋を散布する。背面周縁をめぐらす青紫色の色帯上には水色の斑紋が並ぶ。本種のタイプ標本は沖縄産で、この水色の斑紋が黄色色域に長く伸びることがない。近似の個体群がいくつか知られる。50mmに達する。
シラナミイロウミウシ,Goniobranchus coi,西太平洋、中部太平洋,18m,40~60mm,背面は黄白色で、個体により緑色や褐色を帯びることがある。背面中央に波型の黒色線で囲まれた淡褐色の色域がある。この色域の外側に褐色を黒色線でくくった小円斑や黒色紋をもつが、まったく欠くこともある。背面縁は紫色の細線で縁取られ、その内側に輪郭のぼけた褐色の太い色帯が全周をめぐる。60mmに達する。
オトヒメウミウシ,Goniobranchus kuniei,インド-太平洋,10m,30~75mm,背面は黄色で青色で縁取られた濃紫色の小円斑を散布する。円斑の周囲を避けるように褐色の大きな斑紋がある。背面周縁は薄紫色から青紫色の色帯で縁取られる。背面周縁を大きく打ちふるいながら移動していくのがよく観察される。75mmに達する。
ヒョウモンウミウシ,Goniobranchus leopardus,インド-太平洋,6m,25~60mm,背面は白色で不出来なドーナツのような紫褐色の斑紋が散布する。この斑紋を避けるように輪郭のぼけた褐色の斑紋が大きな網目状に入る。背面周縁は青色で縁取られる。鰓は白色で紫色で縁取られ、触角は先端が青色を帯びる。過去の本ではマダライロウミウシとされていた場合もある。60mmに達する。
フジナミウミウシ,Goniobranchus fidelis,インド-太平洋,10m,5~30mm,背面中央部は白色から蛋白色で、赤紫色で波型に縁取られるがその形状は変異が多い。その外側は赤色。触角と鰓は暗紫色。30mmに達するとされるが通常は10mm程度。
ハスイロウミウシ,Goniobranchus preciosus,西太平洋、中部太平洋,15m,10~30mm,背面は白色で、ときに淡褐色の細点を散布する個体も見られる。背面周縁は白色または水色の細線で縁取られ、その内側には暗赤色または褐色、さらにその内側に黄色または橙色の色帯が全周をめぐる。触角褶葉縁と鰓の軸は白色。30mmに達する。
